#rownames.xcenter.	Chromosome	Pos.Start	Pos.End
21*25576014.5*chr21:025575985-025576044	21	25575985	25576044
21*25692891.5*C21orf42	21	25692862	25692921
21*25718780.5*C21orf42	21	25718751	25718810
21*25828329.5*chr21:025828300-025828359	21	25828300	25828359
21*25897825.5*MRPL39	21	25897796	25897855
21*25950697.5*JAM2	21	25950668	25950727
21*25984049.5*JAM2	21	25984020	25984079
21*26020439.5*ATP5J	21	26020410	26020469
21*26041988.5*GABPA	21	26041959	26042018
21*26099542.5*chr21:026099513-026099572	21	26099513	26099572
21*26191716.5*APP	21	26191687	26191746
21*26303058.5*APP	21	26303029	26303088
21*26368072.5*APP	21	26368043	26368102
21*26416256.5*APP	21	26416227	26416286
21*26465476.5*BG221702	21	26465447	26465506
21*26547235.5*chr21:026547206-026547265	21	26547206	26547265
21*26706420.5*AK125338	21	26706391	26706450
21*26760775.5*CYYR1	21	26760746	26760805
21*26831522.5*CYYR1	21	26831493	26831552
21*26902229.5*chr21:026902200-026902259	21	26902200	26902259
21*27093311.5*chr21:027093282-027093341	21	27093282	27093341
21*27134472.5*ADAMTS1	21	27134443	27134502
21*27237677.5*ADAMTS5	21	27237650	27237705
21*27301026.5*chr21:027300997-027301056	21	27300997	27301056
21*27354896.5*chr21:027354867-027354926	21	27354867	27354926
21*27443559.5*chr21:027443530-027443589	21	27443530	27443589
21*27514849.5*chr21:027514820-027514879	21	27514820	27514879
21*27632621.5*chr21:027632592-027632651	21	27632592	27632651
21*27736099.5*BC043580	21	27736070	27736129
21*27905635.5*AL832704	21	27905606	27905665
21*28007495.5*chr21:028007466-028007525	21	28007466	28007525
21*28080204.5*chr21:028080175-028080234	21	28080175	28080234
21*28250826.5*AL109791	21	28250797	28250856
21*28309363.5*C21orf94	21	28309334	28309393
21*28368946.5*chr21:028368917-028368976	21	28368917	28368976
21*28418280.5*BC047600	21	28418251	28418310
21*28524292.5*chr21:028524263-028524322	21	28524263	28524322
21*28646827.5*chr21:028646798-028646857	21	28646798	28646857
21*28724402.5*chr21:028724373-028724432	21	28724373	28724432
21*28802368.5*BU618747	21	28802339	28802398
21*28834302*C21orf100	21	28834275	28834329
21*28889117.5*BU618747	21	28889088	28889147
21*28948453.5*BU618747	21	28948424	28948483
21*29016349.5*chr21:029016320-029016379	21	29016320	29016379
21*29120601.5*chr21:029120572-029120631	21	29120572	29120631
21*29178958.5*C21orf127	21	29178929	29178988
21*29230857.5*ZNF294	21	29230828	29230887
21*29279005.5*ZNF294	21	29278976	29279035
21*29302639.5*C21orf6	21	29302610	29302669
21*29308037*C21orf6	21	29308009	29308065
21*29319368.5*USP16	21	29319339	29319398
21*29344344.5*USP16	21	29344315	29344374
21*29366731.5*CCT8	21	29366702	29366761
21*29386530*C21orf7	21	29386504	29386556
21*29452743.5*C21orf7	21	29452714	29452773
21*29488430.5*C21orf109	21	29488401	29488460
21*29532094.5*C21orf109	21	29532065	29532124
21*29582121.5*C21orf109	21	29582092	29582151
21*29620269.5*BACH1	21	29620240	29620299
21*29663297.5*THC2220617	21	29663268	29663327
21*29775123.5*THC2220617	21	29775094	29775153
21*29847809.5*GRIK1	21	29847780	29847839
21*29891739.5*GRIK1	21	29891710	29891769
21*29898452.5*GRIK1	21	29898423	29898482
21*29988090.5*GRIK1	21	29988061	29988120
21*30096855.5*GRIK1	21	30096826	30096885
21*30136640.5*GRIK1	21	30136611	30136670
21*30192111.5*GRIK1	21	30192082	30192141
21*30255293.5*chr21:030255264-030255323	21	30255264	30255323
21*30384700.5*chr21:030384671-030384730	21	30384671	30384730
21*30460159.5*CLDN17	21	30460130	30460189
21*30460355.5*CLDN17	21	30460327	30460384
21*30508294.5*CLDN8	21	30508265	30508324
21*30554370.5*chr21:030554341-030554400	21	30554341	30554400
21*30641823.5*chr21:030641794-030641853	21	30641794	30641853
21*30665895*KRTAP13-2	21	30665870	30665920
21*30690802.5*KRTAP13-1	21	30690773	30690832
21*30724946.5*chr21:030724917-030724976	21	30724917	30724976
21*30734723*KRTAP15-1	21	30734700	30734746
21*30773988.5*KRTAP19-1	21	30773959	30774018
21*30782636.5*chr21:030782607-030782666	21	30782607	30782666
21*30785763.5*KRTAP19-3	21	30785734	30785793
21*30791096.5*KRTAP19-4	21	30791067	30791126
21*30835805.5*chr21:030835782-030835829	21	30835782	30835829
21*30852935.5*chr21:030852906-030852965	21	30852906	30852965
21*30884381.5*chr21:030884352-030884411	21	30884352	30884411
21*30895408.5*KRTAP22-1	21	30895386	30895431
21*30910639.5*chr21:030910610-030910669	21	30910610	30910669
21*30929081.5*chr21:030929052-030929111	21	30929052	30929111
21*31014237.5*chr21:031014208-031014267	21	31014208	31014267
21*31039527.5*chr21:031039498-031039557	21	31039498	31039557
21*31050325.5*chr21:031050296-031050355	21	31050296	31050355
21*31107074.5*KRTAP8-1	21	31107052	31107097
21*31123564*KRTAP7-1	21	31123537	31123591
21*31123592.5*KRTAP7-1	21	31123567	31123618
21*31174846.5*chr21:031174817-031174876	21	31174817	31174876
21*31175069.5*KRTAP11-1	21	31175044	31175095
21*31213899.5*chr21:031213870-031213929	21	31213870	31213929
21*31309079.5*chr21:031309050-031309109	21	31309050	31309109
21*31446894.5*TIAM1	21	31446865	31446924
21*31519915.5*TIAM1	21	31519886	31519945
21*31633598.5*TIAM1	21	31633572	31633625
21*31841924.5*TIAM1	21	31841895	31841954
21*31862846.5*chr21:031862817-031862876	21	31862817	31862876
21*31912208.5*chr21:031912179-031912238	21	31912179	31912238
21*31955376.5*SOD1	21	31955347	31955406
21*31963048.5*SOD1	21	31963019	31963078
21*32022257.5*SFRS15	21	32022228	32022287
21*32103356.5*chr21:032103327-032103386	21	32103327	32103386
21*32167298*chr21:032167271-032167325	21	32167271	32167325
21*32218650.5*HUNK	21	32218621	32218680
21*32296179.5*HUNK	21	32296150	32296209
21*32331173.5*AL833413	21	32331144	32331203
21*32379112.5*BG460487	21	32379083	32379142
21*32441093.5*THC2230390	21	32441064	32441123
21*32492111.5*chr21:032492082-032492141	21	32492082	32492141
21*32543176.5*chr21:032543147-032543206	21	32543147	32543206
21*32572565.5*C21orf45	21	32572536	32572595
21*32595941.5*C21orf61	21	32595912	32595971
21*32688034.5*C21orf119	21	32688005	32688064
21*32735817.5*C21orf63	21	32735788	32735847
21*32791463.5*C21orf63	21	32791434	32791493
21*32869030.5*C21orf77	21	32869001	32869060
21*32876506.5*TCP10L	21	32876481	32876532
21*32901852.5*C21orf59	21	32901823	32901882
21*32930224.5*SYNJ1	21	32930195	32930254
21*32994206.5*SYNJ1	21	32994177	32994236
21*33027112.5*BC038361	21	33027083	33027142
21*33064031.5*C21orf66	21	33064002	33064061
21*33088088.5*C21orf49	21	33088059	33088118
21*33106246.5*C21orf62	21	33106217	33106276
21*33195884.5*chr21:033195855-033195914	21	33195855	33195914
21*33246375.5*chr21:033246346-033246405	21	33246346	33246405
21*33320564.5*OLIG2	21	33320536	33320593
21*33322372*OLIG2	21	33322349	33322395
21*33323341.5*OLIG2	21	33323312	33323371
21*33411349.5*BC021745	21	33411320	33411379
21*33482954.5*chr21:033482925-033482984	21	33482925	33482984
21*33524741*IFNAR2	21	33524718	33524764
21*33582080.5*IL10RB	21	33582051	33582110
21*33639443.5*IFNAR1	21	33639414	33639473
21*33715620.5*IFNGR2	21	33715591	33715650
21*33731392.5*C21orf4	21	33731363	33731422
21*33749762.5*C21orf4	21	33749733	33749792
21*33781088.5*C21orf55	21	33781059	33781118
21*33785155.5*C21orf55	21	33785128	33785183
21*33799832.5*GART	21	33799803	33799862
21*33853943.5*SON	21	33853914	33853973
21*33872135.5*DONSON	21	33872106	33872165
21*33918917.5*CRYZL1	21	33918888	33918947
21*33935486.5*CRYZL1	21	33935457	33935516
21*34012976.5*ITSN1	21	34012947	34013006
21*34061982.5*ITSN1	21	34061953	34062012
21*34132623.5*ITSN1	21	34132594	34132653
21*34200407.5*ATP5O	21	34200378	34200437
21*34277809.5*chr21:034277780-034277839	21	34277780	34277839
21*34332168.5*chr21:034332139-034332198	21	34332139	34332198
21*34391098.5*MRPS6	21	34391070	34391127
21*34437190.5*chr21:034437162-034437219	21	34437162	34437219
21*34477324.5*C21orf82	21	34477295	34477354
21*34516073.5*THC2140307	21	34516044	34516103
21*34625283.5*chr21:034625254-034625313	21	34625254	34625313
21*34662815*KCNE2	21	34662788	34662842
21*34685095.5*C21orf51	21	34685066	34685125
21*34747587.5*KCNE1	21	34747558	34747617
21*34810833.5*DSCR1	21	34810804	34810863
21*34887942.5*DSCR1	21	34887913	34887972
21*34984171.5*CLIC6	21	34984142	34984201
21*34991029.5*CLIC6	21	34991000	34991059
21*34999724.5*CLIC6	21	34999700	34999749
21*35040052.5*AK025786	21	35040023	35040082
21*35084149.5*RUNX1	21	35084120	35084179
21*35118106.5*RUNX1	21	35118077	35118136
21*35123462.5*RUNX1	21	35123433	35123492
21*35181688.5*RUNX1	21	35181659	35181718
21*35288289.5*RUNX1	21	35288260	35288319
21*35333395.5*RUNX1	21	35333367	35333424
21*35413630.5*RUNX1	21	35413601	35413660
21*35486105.5*RUNX1	21	35486076	35486135
21*35580323.5*RUNX1	21	35580294	35580353
21*35696642.5*RUNX1	21	35696613	35696672
21*35911402.5*RUNX1	21	35911373	35911432
21*35984828.5*RUNX1	21	35984799	35984858
21*36057051.5*RUNX1	21	36057022	36057081
21*36156856.5*RUNX1	21	36156827	36156886
21*36229747.5*RUNX1	21	36229718	36229777
21*36330151.5*C21orf18	21	36330122	36330181
21*36366171.5*C21orf18	21	36366143	36366200
21*36440231.5*CBR3	21	36440202	36440261
21*36517437.5*C21orf5	21	36517408	36517467
21*36587836.5*C21orf5	21	36587807	36587866
21*36643504*ZCWCC3	21	36643476	36643532
21*36685725*CHAF1B	21	36685700	36685750
21*36718129.5*chr21:036718100-036718159	21	36718100	36718159
21*36755019*CLDN14	21	36754990	36755048
21*36846651.5*CLDN14	21	36846622	36846681
21*36964469.5*chr21:036964440-036964499	21	36964440	36964499
21*36998547.5*SIM2	21	36998518	36998577
21*37047275.5*HLCS	21	37047246	37047305
21*37119968.5*HLCS	21	37119939	37119998
21*37191197.5*HLCS	21	37191168	37191227
21*37224538.5*HLCS	21	37224509	37224568
21*37256335.5*HLCS	21	37256306	37256365
21*37307782.5*DSCR6	21	37307755	37307810
21*37359722.5*DSCR5	21	37359693	37359752
21*37381399.5*TTC3	21	37381370	37381429
21*37450830.5*TTC3	21	37450801	37450860
21*37515138.5*DSCR9	21	37515115	37515162
21*37517817.5*DSCR3	21	37517788	37517847
21*37560541.5*DSCR3	21	37560512	37560571
21*37644730.5*chr21:037644701-037644760	21	37644701	37644760
21*37677067.5*DYRK1A	21	37677038	37677097
21*37713470.5*DYRK1A	21	37713441	37713500
21*37772353.5*DYRK1A	21	37772324	37772383
21*37807661.5*DYRK1A	21	37807632	37807691
21*37919172.5*KCNJ6	21	37919143	37919202
21*38008801.5*KCNJ6	21	38008773	38008830
21*38082086.5*KCNJ6	21	38082057	38082116
21*38134878.5*KCNJ6	21	38134852	38134905
21*38210488*KCNJ6	21	38210461	38210515
21*38242074.5*chr21:038242045-038242104	21	38242045	38242104
21*38320402.5*chr21:038320373-038320432	21	38320373	38320432
21*38348291.5*DSCR4	21	38348263	38348320
21*38406508.5*chr21:038406479-038406538	21	38406479	38406538
21*38416300.5*DSCR8	21	38416276	38416325
21*38416644.5*DSCR8	21	38416615	38416674
21*38450366.5*DSCR8	21	38450337	38450396
21*38502520.5*DSCR10	21	38502491	38502550
21*38540291.5*LOC441964	21	38540262	38540321
21*38576963.5*KCNJ15	21	38576934	38576993
21*38651612.5*chr21:038651583-038651642	21	38651583	38651642
21*38739414.5*ERG	21	38739388	38739441
21*38793226.5*ERG	21	38793197	38793256
21*38840243.5*ERG	21	38840214	38840273
21*38878210.5*ERG	21	38878181	38878240
21*38959872.5*chr21:038959843-038959902	21	38959843	38959902
21*39036147.5*C21orf24	21	39036118	39036177
21*39106844*ETS2	21	39106818	39106870
21*39110817.5*ETS2	21	39110788	39110847
21*39114119.5*ETS2	21	39114090	39114149
21*39172653.5*FLJ45139	21	39172624	39172683
21*39266124.5*chr21:039266095-039266154	21	39266095	39266154
21*39334294.5*chr21:039334265-039334324	21	39334265	39334324
21*39408760.5*LOC391282	21	39408731	39408790
21*39470566.5*DSCR2	21	39470537	39470596
21*39522316.5*WDR9	21	39522287	39522346
21*39605400.5*WDR9	21	39605371	39605430
21*39608325*C21orf87	21	39608300	39608350
21*39639677.5*HMGN1	21	39639648	39639707
21*39686981*WRB	21	39686956	39687006
21*39691493.5*CR600902	21	39691464	39691523
21*39704147.5*C21orf13	21	39704118	39704177
21*39737984.5*C21orf13	21	39737955	39738014
21*39809040.5*SH3BGR	21	39809011	39809070
21*39809187.5*SH3BGR	21	39809158	39809217
21*39899331.5*B3GALT5	21	39899302	39899361
21*39899724*C21orf88	21	39899695	39899753
21*39905991.5*C21orf88	21	39905962	39906021
21*39952254.5*B3GALT5	21	39952225	39952284
21*40064192.5*ENST00000328060	21	40064163	40064222
21*40161428.5*PCP4	21	40161399	40161458
21*40180769.5*PCP4	21	40180740	40180799
21*40212033.5*PCP4	21	40212004	40212063
21*40305550.5*chr21:040305521-040305580	21	40305521	40305580
21*40480935.5*DSCAM	21	40480906	40480965
21*40633202.5*DSCAM	21	40633173	40633232
21*40837575.5*DSCAM	21	40837546	40837605
21*41002553*DSCAM	21	41002527	41002579
21*41176805.5*chr21:041176776-041176835	21	41176776	41176835
21*41367782.5*chr21:041367753-041367812	21	41367753	41367812
21*41470914.5*BACE2	21	41470885	41470944
21*41473573*BACE2	21	41473551	41473595
21*41544549.5*BACE2	21	41544521	41544578
21*41572673.5*THC2169371	21	41572644	41572703
21*41639493.5*FAM3B	21	41639464	41639523
21*41700648.5*MX2	21	41700619	41700678
21*41725601*MX1	21	41725578	41725624
21*41760086.5*TMPRSS2	21	41760061	41760112
21*41765687.5*TMPRSS2	21	41765658	41765717
21*41791920.5*TMPRSS2	21	41791891	41791950
21*41859443.5*chr21:041859414-041859473	21	41859414	41859473
21*41935421.5*chr21:041935392-041935451	21	41935392	41935451
21*42006701*C21orf129	21	42006672	42006730
21*42033501.5*RIPK4	21	42033472	42033531
21*42098231.5*PRDM15	21	42098202	42098261
21*42184218.5*C21orf25	21	42184189	42184248
21*42285661.5*ZNF295	21	42285632	42285691
21*42317494*C21orf121	21	42317467	42317521
21*42395338.5*UMODL1	21	42395313	42395364
21*42427423.5*UMODL1	21	42427394	42427453
21*42480575.5*chr21:042480546-042480605	21	42480546	42480605
21*42513999.5*ABCG1	21	42513970	42514029
21*42564264.5*ABCG1	21	42564239	42564290
21*42608135.5*TFF3	21	42608106	42608165
21*42643333.5*TFF2	21	42643305	42643362
21*42655495.5*TFF1	21	42655466	42655525
21*42665132.5*TMPRSS3	21	42665103	42665162
21*42714848.5*UBASH3A	21	42714819	42714878
21*42765677.5*chr21:042765648-042765707	21	42765648	42765707
21*42785992.5*TSGA2	21	42785963	42786022
21*42792938.5*SLC37A1	21	42792909	42792968
21*42832800*SLC37A1	21	42832774	42832826
21*42872254.5*SLC37A1	21	42872226	42872283
21*42915590.5*LOC402028	21	42915561	42915620
21*42967997.5*PDE9A	21	42967968	42968027
21*43001348.5*PDE9A	21	43001319	43001378
21*43032756.5*PDE9A	21	43032727	43032786
21*43065044*PDE9A	21	43065018	43065070
21*43159994.5*WDR4	21	43159965	43160024
21*43190110*NDUFV3	21	43190084	43190136
21*43249114.5*AK024918	21	43249085	43249144
21*43282955.5*PKNOX1	21	43282926	43282985
21*43314511.5*PKNOX1	21	43314482	43314541
21*43357556.5*CBS	21	43357528	43357585
21*43364376.5*CBS	21	43364347	43364406
21*43388156.5*U2AF1	21	43388127	43388186
21*43394608*U2AF1	21	43394579	43394637
21*43462737*CRYAA	21	43462715	43462759
21*43465574*CRYAA	21	43465550	43465598
21*43497777.5*chr21:043497748-043497807	21	43497748	43497807
21*43534224.5*chr21:043534195-043534254	21	43534195	43534254
21*43592168.5*chr21:043592139-043592198	21	43592139	43592198
21*43659132.5*SNF1LK	21	43659103	43659162
21*43672762*chr21:043672733-043672791	21	43672733	43672791
21*43696508*C21orf125	21	43696485	43696531
21*43707214.5*C21orf84	21	43707185	43707244
21*43773714.5*HSF2BP	21	43773685	43773744
21*43811730.5*HSF2BP	21	43811701	43811760
21*43919034.5*KIAA0179	21	43919005	43919064
21*43979328.5*PDXK	21	43979306	43979351
21*43985109.5*PDXK	21	43985080	43985139
21*44004811*PDXK	21	44004786	44004836
21*44005297.5*PDXK	21	44005268	44005327
21*44006593*chr21:044006564-044006622	21	44006564	44006622
21*44019206.5*CSTB	21	44019177	44019236
21*44037947.5*D21S2056E	21	44037921	44037974
21*44050954*LOC284837	21	44050927	44050981
21*44112116.5*AGPAT3	21	44112087	44112146
21*44225310.5*AGPAT3	21	44225285	44225336
21*44303786.5*TMEM1	21	44303763	44303810
21*44375453.5*PWP2H	21	44375424	44375483
21*44381937*C21orf33	21	44381910	44381964
21*44413465.5*C21orf32	21	44413436	44413495
21*44451102.5*THC2219104	21	44451073	44451132
21*44484388.5*ICOSLG	21	44484360	44484417
21*44497714.5*DNMT3L	21	44497685	44497744
21*44502647.5*DNMT3L	21	44502625	44502670
21*44505124.5*DNMT3L	21	44505095	44505154
21*44541240.5*AIRE	21	44541215	44541266
21*44551776.5*PFKL	21	44551747	44551806
21*44565088*PFKL	21	44565059	44565117
21*44578070.5*C21orf2	21	44578047	44578094
21*44599001*TRPM2	21	44598973	44599029
21*44660228.5*TRPM2	21	44660199	44660258
21*44701784.5*LRRC3	21	44701761	44701808
21*44761532.5*C21orf29	21	44761508	44761557
21*44762738*C21orf29	21	44762714	44762762
21*44793803.5*C21orf29	21	44793774	44793833
21*44802121.5*C21orf29	21	44802096	44802147
21*44825995.5*C21orf29	21	44825966	44826025
21*44880855.5*C21orf29	21	44880826	44880885
21*44911580*C21orf29	21	44911551	44911609
21*44926884*C21orf29	21	44926856	44926912
21*44982066.5*chr21:044982037-044982096	21	44982037	44982096
21*45018294.5*UBE2G2	21	45018265	45018324
21*45050107*SUMO3	21	45050079	45050135
21*45115467.5*PTTG1IP	21	45115438	45115497
21*45131635.5*ITGB2	21	45131613	45131658
21*45147394.5*ITGB2	21	45147365	45147424
21*45161796.5*ITGB2	21	45161767	45161826
21*45181903.5*C21orf67	21	45181877	45181930
21*45187725.5*C21orf70	21	45187697	45187754
21*45236235.5*BC036902	21	45236206	45236265
21*45316118*C21orf122	21	45316090	45316146
21*45324876.5*ADARB1	21	45324847	45324906
21*45354849.5*ADARB1	21	45354820	45354879
21*45427043.5*ADARB1	21	45427014	45427073
21*45480156.5*C21orf89	21	45480127	45480186
21*45511210*POFUT2	21	45511182	45511238
21*45514572.5*POFUT2	21	45514543	45514602
21*45539958.5*C21orf86	21	45539929	45539988
21*45546659.5*C21orf93	21	45546632	45546687
21*45586089.5*LOC388830	21	45586060	45586119
21*45652397.5*COL18A1	21	45652368	45652427
21*45756928.5*COL18A1	21	45756899	45756958
21*45759076.5*THC2177217	21	45759048	45759105
21*45781377.5*SLC19A1	21	45781348	45781407
21*45827929.5*chr21:045827900-045827959	21	45827900	45827959
21*45969638.5*LOC441968	21	45969609	45969668
21*46014803.5*THC2143115	21	46014774	46014833
21*46093877.5*PCBP3	21	46093848	46093907
21*46143946.5*PCBP3	21	46143917	46143976
21*46186176.5*PCBP3	21	46186149	46186204
21*46248441.5*COL6A1	21	46248412	46248471
21*46249249*COL6A1	21	46249222	46249276
21*46367128.5*COL6A2	21	46367102	46367155
21*46380498.5*chr21:046380469-046380528	21	46380469	46380528
21*46386116.5*FTCD	21	46386087	46386146
21*46409251.5*C21orf56	21	46409222	46409281
21*46423851.5*C21orf56	21	46423822	46423881
21*46433486.5*LSS	21	46433457	46433516
21*46436803.5*LSS	21	46436779	46436828
21*46479801.5*MCM3AP	21	46479772	46479831
21*46488151*MCM3AP	21	46488122	46488180
21*46503236.5*MCM3AP	21	46503207	46503266
21*46531127.5*C21orf57	21	46531098	46531157
21*46558418.5*C21orf58	21	46558393	46558444
21*46590998*PCNT2	21	46590970	46591026
21*46633943.5*PCNT2	21	46633914	46633973
21*46646753.5*PCNT2	21	46646724	46646783
21*46699726.5*AK127572	21	46699697	46699756
21*46755763*C21orf106	21	46755736	46755790
21*46790560.5*C21orf106	21	46790531	46790590
21*46801569.5*C21orf106	21	46801540	46801599
21*46811557.5*C21orf106	21	46811528	46811587
21*46843307.5*S100B	21	46843278	46843337
21*46846216.5*S100B	21	46846187	46846246
21*46847379.5*S100B	21	46847350	46847409
