#name	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"
"11"	0.14858	0.8483	0.376048	2.192	-0.43138	0.150188	-0.9374	0.0253153	-2.295	0.20471	-0.37788	0.005997	0.41335	-0.316564	-0.394641	-1.535	-0.293572	0.828983	0.165486	-0.221847	0.387608	0.368049	-0.233795	-0.13132	-0.5664	2.073	-1.539	-0.07043	-0.144925	0.2232	-1.074	-0.411016	-1.382	-0.6487	1.814	2.652	-0.5272	-0.9437	-0.1323	0.01567	0.2498	-0.1219	-0.6195	0.06156	0.1964	0.03564	-1.042	0.5856	0.9547	0.01223	0.1432	-0.008389	0.2935	-0.4145	0.149377	-0.011751	2.752	-1.084	0.02253	-0.9492	-0.2508	-0.7893	-0.845	1.495	-0.481	0.2985	-0.3889	0.4956	0.6253	-0.5696	0.0329	-0.04951	-0.1736	0.1132	0.1841	-0.3454	0.7767	1.687	-1.042	0.1249	0.5814	-0.03146	-0.1537	-0.04188	0.09278	-0.1142	-0.6856	-0.285	0.1898	-0.02337	1.035	-0.03907	-0.2526	-0.0165	-0.2352	0.7322	-0.7189	0.08962	-0.05448	-0.07317	-0.2083	-0.1577	-0.7872	0.1717	-0.4512	-0.08935	0.02158	0.2029	-0.5512	0.2254	0.1312	0.2593	-0.8907	-1.307	1.179	0.3963
"12"	0.5233	-0.000781	2.072	1.386	1.06319	0.8187	-0.9745	-0.312438	0.401251	-1.636	-0.1645	0.32548	0.72763	-0.1648214	-0.1083	0.3672	-0.39868	0.41965	-1.908	0.690005	0.22231	1.221	-1.558	0.3696	-1.835	0.8248	-0.2775	0.0009596	-1.963	0.8956	-0.39	-2.653	-0.3274	-2.178	0.4144	0.7301	-0.3848	0.3397	2.194	0.1301	0.03014	0.04552	0.4539	-0.1951	1.789	-1.744	0.473	-0.122	-0.007939	0.7156	0.5435	0.28138	0.8609	-0.260723	0.3989	-0.85794	-0.76737	0.2696732	-0.6621	-0.2908	0.5956	1.014	0.2364	-0.4712	0.2934	-0.4722	0.6255	1.966	0.2101	-1.437	-0.4923	-0.8158	0.1171	-1.405	1.625	-1.788	1.061	0.968	-1.039	-0.8293	1.166	-0.1877	-0.589	0.2689	-2.131	0.03456	-0.7068	-0.6673	1.086	-0.9926	0.22333	-0.0003061	0.09413	1.88	1.961	1.249	-0.6681	0.02638	-0.1287	0.6966	-0.7075	0.6701	-1.769	0.4395	0.8345	-0.8866	1.352	0.1067	-1.202	-0.2138	0.4649	0.6131	-2.587	-0.12906421	2.776	-0.4229
"13"	-0.1715	0.8105	2.924	1.477	1.24	0.322	0.5938	-1.337	-2.718	-1.043	-0.8662	0.04365	0.2386	-2.137	0.4199	-0.8026	-0.256809	0.886663	2.259	-2.123	-0.01051	0.0343902	-0.6126	-0.7956	0.4989	-1.12	-0.4487	0.7528	-0.3254	-0.2126	-1.839	-1.446	-0.6866	0.7105	0.4132	0.9149	1.04	0.04049	0.6369	-0.1031	-0.05503	-0.6107	-0.7163	0.09277	0.1346	-0.4791	0.2668	0.03084	0.1879	-0.1836	0.3304	0.3718	0.3237	0.0986886	0.1208	0.5184	0.09374	0.164763	1.164	0.631	-0.2015	0.5689	-0.4797	-0.06438	0.3193	-0.3943	-0.20187	1.574	0.5062	-0.6157	0.2098	1.94	-0.5988	0.3811	1.542	-1.523	1.584	0.6161	-0.5918	-0.2582	0.9823	0.7594	-0.4219	-0.545	-1.82	0.1657	-1.61	0.7918	-0.4733	-0.4665	1.533	-0.2182	-0.2718	2.006	0.1197	0.4511	-1.219	-1.14	-0.4616	0.5127	-0.2134	-0.2368	-3.162	-0.4345	-0.5864	-0.9205	0.7584	-0.2612	-1.114	0.5682	0.311	1.167	-0.33846	-0.672056	0.20395	0.6831
"14"	1.615	2.031	3.602	2.441	0.6879	1.128	-0.05807	-4.918	-0.5769074	-0.7499	-1.101	-1.478	-0.92642	-3.469	-0.6199	-0.8694	0.088408	0.24155	0.688055	0.29672	0.365052	0.710057	0.1813	-0.545	-0.9135	-1.094	0.1119	1.552	1.41	-1.131	-0.08252	-0.7347	-0.863	-0.3779	-0.8972	-0.2404	-0.2963	0.7061	-0.2365	0.7495	0.9336	0.3449	-1.329	0.9554	-0.7708	-1.919	-0.5256	0.1994	0.07949	0.3	-0.664	-0.08857	1.719	-1.07	-0.4986	-0.504	1.181	-0.26012	0.2163	1.779	-0.5229	1.981	-0.4131	1.003	0.9429	-0.4727	0.02394	1.548	0.6495	-0.5235	1.287	-1.023	-0.1425	2.178	-0.6818	-0.5132	0.5138	1.456	-0.4195	-1.278	0.2686	0.9997	-1.06	0.5113	-1.061	1.521	1.074	-0.7319	1.975	1.119	0.3317	-0.9769	-1.368	0.7846	2.433	0.7164	0.5673	-1.01	-0.4763	-0.989	0.4839	-0.4415	0.1189	-1.847	-0.9721	0.2158	-2.51	-0.3219	-0.6201	-0.1195	-2.11	0.4455	0.40963	0.28132	-0.590325	0.375279
"15"	1.466	0.8467	3.735	1.8	-0.2691	0.9412	-0.209	-0.664	-2.816	-0.2788	-1.045	0.2587	0.10954	0.376433	-1.064	-1.473	0.049952	0.21133	0.594425	-0.191935	0.319493	0.8913012	0.10206	0.1248	-0.5588	-0.3	-0.6053	1.249	0.933	-0.3352	-0.5188	-0.5459	-0.7522	-0.1291	-0.3704	-0.1947	-0.2216	0.5199	0.1173	0.6793	0.8173	-0.1543	-1.197	0.4051	-1.004	-1.405	-0.9178	-0.2408	-0.1977	-0.4002	0.01875	0.7912	2.126	-0.8989	0.05515	-0.1362	1.75	-0.198357	0.1091	1.934	-2.65	1.785	-0.02437	0.454	0.5876	-0.736	0.03671	2.277	0.986	-0.08387	1.604	-0.9008	0.2221	3.064	-0.5312	0.1203	0.4594	1.682	-0.6259	-2.363	-0.6828	0.4803	-0.79	0.9618	-0.9475	1.633	1.09	-1.348	2.303	0.8243	-0.2377	-0.8103	-0.68832	0.3142	2.549	0.779	0.4749	-1.512	-0.3488	-0.5024	0.6155	-0.01297	0.2565	-1.984	-1.422	-0.4786	-2.591	-0.5503	-0.5985	-0.6189	-2.35	-0.4049	-0.16142	-0.25008	-0.5886	0.076159
"16"	0.7361	2.047	2.58	0.4892	-0.4867	2.078	-1.142	-2.092	-0.060991	-0.17112	0.9054	-3.182	-1.0303025	-1.316	-1.843	-1.733	-0.2344	1.672	0.681265	0.9902	1.332	-0.112663	-0.592	0.1096	0.891	-0.9622	-1.047	-1.042	0.7288	-1.262	-1.222	-0.1391	-0.2984	-0.02736	-1.045	-0.2739	0.1112	-0.4234	0.598	0.671	-0.2769	-0.7945	-0.6082	1.023	-0.2703	-1.252	-1.635	1.193	2.251	0.08459	-0.07147	1.756	0.9689	-1.998	-0.6021	-1.045	0.03077	0.8874	2.38	0.7601	0.7926	1.538	-1.54	-0.06323	-0.0856	0.2288	1.011	1.397	-1.167	0.09063	-0.07688	1.039	0.1676	0.3534	-1.348	0.1598	0.3249	-0.07752	-1.563	-0.7619	0.09366	2.278	1.469	0.7923	-0.485	1.208	1.259	1.021	-0.998	0.5798	1.821	-1.089	-0.8644	0.7867	-0.787	-0.3895	-0.3287	-0.4372	-0.7553	0.02705	0.418	1.476	-1.104	-0.5831	-0.03602	-0.3001	-0.4912	0.9661	-0.864	-0.2064	-1.327	0.9336	-1.289	-2.723	-0.3033	1.392
"17"	1.924	-0.4795	1.443	0.7196	-0.001305	-0.27	-1.406	-1.071	-2.681	-0.336	-0.46121	0.9957	2.154	-0.3178	-0.5171	-1.48	-0.159077	0.40057	0.133236	-0.161455	0.5883	0.502339	-0.24428	-1.281	2.225	-0.62294	-0.754	-0.5245	-0.385655	0.21042	-0.241533	-1.006	-2.63557	-0.4078	0.065173	0.3507	0.4518	0.7622	-0.9394	-1.469	-1.024	0.2601	-0.5816	0.8545	0.4813	0.2176	0.4916	0.4146	-1.033	-0.7208	0.115508	0.1796	0.7425	-0.0391884	0.262677	0.31028	0.22577	0.09303	0.49765	0.7057	-1.97514	1.227	0.247	0.5084	-0.157	-0.2206	-0.442658	0.223	-0.4813	0.5278	0.6053	0.3119	-0.04621	0.2396	0.05547	-0.04098	-0.5319	0.6517	-0.07622	0.5353	0.1879	-0.9141	-0.01332	0.2755	0.3472	0.4342	-0.4641	-0.07161	0.4582	0.293	-0.939	0.2543	0.042	-0.4411	0.4342	0.06065	-0.8455	0.02503	0.006933	0.5952	-0.2688	-0.08027	-0.2768	-0.2559	-0.3008	-0.2969	0.005999	-0.5247	-0.3778	0.1154838	-0.3984	-0.2212	0.02471	0.61838	0.9499	0.3637
"18"	0.1399	-0.5282	0.7927	1.143	0.50478	-0.0006443	1.205	0.5002	-3.449	-0.2936	0.8081	0.602	0.16944	-0.04757	-0.4377	0.1498	-0.4382193	0.38597	0.4677	-0.365205	0.15554	-0.6092988	-0.403938	-0.2451	0.9594	0.1932	1.334	-0.4237	-1.397	-0.7461	0.4614	0.6162	-0.4081	-1.298	0.7287	0.3215	0.3866	0.65	0.8434	0.2314	-0.6325	-0.3881	-0.8258	-0.02272	-1.143	-1.333	0.03034	0.1604	-0.0716	0.574	-0.2721	0.7713	-0.8218	-0.5067	0.6293	1.472	0.7412	-0.1400638	0.7963	-1.564	-0.449	0.7754	0.6118	-0.8089	0.3898	-0.3228	0.002851	0.7236	0.0564	-0.6755	0.291	0.8396	-0.2085	-0.1947	-0.4059	-0.4063	1.263	-0.2337	-0.5146	-0.701	0.5695	-0.8794	-0.05966	0.9632	-0.9111	0.6109	-0.2655	0.8411	-0.1971	-0.3103	1.381	-0.05199	0.1834	1.321	-0.1381	0.2923	-0.9828	-0.1993	0.2806	1.856	0.4448	0.7424	0.2489	0.2338	-0.7012	0.2067	0.5097	-0.106	0.6019	-0.4915	0.8072	-0.05859	1.676	-5.393	-0.949	-2.858
"19"	-0.5354	0.7512	4.41	-0.2806	-3.68	-0.00763	-0.5085	-0.0534	-1.242	-0.040756	-1.22464	0.8734	-0.4455025	0.404095	-0.25666	-0.2298	0.159312	0.675343	0.86764	-0.127971	-0.00921	0.3212782	0.319813	0.5067	-0.09686	0.1759	1.901	3.054	-1.098	-0.879482	-0.709085	-2.616	-0.8743	-2.334	0.17658	-0.9438	-0.360139	-0.223271	-0.06082	0.7512	0.1843	-1.422	1.037	-0.3479	0.1858	-1.185	-2.125	1.165	-0.8678	0.4187	1.618	1.959	0.585	-0.502	4.763	-2.514	2.601	0.037623	0.506	-1.672	0.2987	-1.423	0.9385	-0.1581	-0.4225	-1.985	0.260637	0.4715	0.04124	-3.02	0.6228	-0.6856	2.657	-0.4079	0.3539	1.102	1.034	2.069	1.719	-0.4102	1.547	-0.2175	-0.7888	-0.233	-1.746	-1.094	-1.145	-1.646	-0.4523	-1.231	0.8945	-0.5632	-0.7517	1.848	1.112	0.1732	-0.789	-0.2425	-1.963	-0.1583	0.06166	4.109	-1.544	-0.2704	0.6757	-0.3804	-1.436	-1.474	0.4457	0.3083	-0.1359	0.3253	1.568	-0.54818	-0.08314	0.30636
"20"	-0.7457	-0.4547	3.766	0.5964	0.4115	-0.9762	-1.18	-1.127	-0.9295	-0.472587	-0.752785	0.231203	-0.19339	0.5830076	0.4178	0.4053	0.3184	0.29228	0.4053	0.98415	-0.7519	-0.129413	2.133	-4.387	-2.052	-1.354	1.858	2.855	0.42511	-0.1305	-0.286275	-2.163	-0.4734	-1.775	-1.672	-1.328	-0.8918	-1.441	0.1741	0.706	0.5291	0.3395	0.4838	-0.4331	0.9767	-0.831	-0.699	0.9	0.314	0.5916	1.681	0.062721	-0.1521	-0.90547	4.445	-0.5355	2.357	-0.069077	0.0109	0.24599	1.205	-0.6779	0.2114	0.013739	0.3174	-0.1022	1.144	-0.7295	-1.001	-0.307849	-0.0157482	-1.236	1.81	-0.09833	-0.095509	1.165	0.3847	0.7432	-0.4787	-1.754	1.458	1.41	-0.2368	-0.5899	-1.499	-1.436	0.2464	0.024836	-0.4152	-0.2844	0.02936	-0.9251	-1.191	1.669	0.7078	-0.3448	0.400679	0.9176	-0.4585	0.3068	-1.57	3.849	-1.175	-1.202	0.9067	-0.4164	-1.062	-0.9321	0.3837	1.328	0.6931	0.1413	0.8163	1.14754	0.21496	0.05267
"21"	-0.90484	0.2734	3.975	-0.8645	-0.112216	-1.434	-1.841	0.2887	0.3656	-0.001073	-0.622871	0.112805	0.34207	0.56264	-0.1512	-2.148	0.528029	0.176188	0.25344	0.807709	-0.33468	0.12741	2.311	-0.263414	-0.5831	-0.06026	1.211	2.174	0.24906	-0.2421648	2.678	0.9038	1.691	-1.356	-0.3447	-1.956	-0.7817	-0.922919	-0.4011	-0.2341	-0.306	-0.9946	-0.4523	-0.7742	0.3496	-1.244	-1.053	-0.1401	-1.608	-0.6255	0.4494	1.228	0.3237	-0.74278	3.873	-0.9476	-0.87267	0.196099	-0.1312	-2.407	0.4615	-0.008062	0.4863	-0.22411	-0.222634	-1.158	0.5514	-0.1662	0.4726	-1.811	-4.642	-0.3253	1.887	-0.8435	-0.4287	1.171	0.57	0.8885	-1.994	-0.6688	1.716	-0.3522	-0.1865	-0.2046	-0.398	-0.8819	0.3077	-1.338	0.04407	-0.3891	1.87	-0.5798	-0.4354	2.031	1.062	0.1945	0.644914	0.1329	-0.02523	0.4371	-1.52	4.291	-0.624	-1.967	-0.01199	0.2319	-0.7562	-0.6038	0.354	1.267	-0.227261	1.113	1.765	1.01169	1.819	-2.468
