"#name"	arr1	arr2	arr3	arr4
"21*25518063.5*chr21:025518034-025518093"	-0.16651	-0.062507	0.151911075	0.08053
"21*25576014.5*chr21:025575985-025576044"	-0.23051	-0.180607	-0.061812546	-0.15097
"21*25692891.5*zU21orf42"	-0.16351	-0.124607	0.063976045	0.17803
"21*25718780.5*zU21orf42"	-0.01721	-0.041407	0.28058421	0.28503
"21*25828329.5*chr21:025828300-025828359"	-0.09851	-0.046507	0.12159765	0.07393
"21*25897825.5*MR23L39"	0.02169	-0.116607	0.125424062	0.13203
"21*25950697.5*JnñM2"	-0.07391	-0.125607	0.068259158	0.06493
"21*25984049.5*JnñM2"	-0.09351	-0.125607	-0.003491594	-0.08487
"21*26020439.5*nñ$z235J"	-0.07891	-0.099407	0.038082062	0.03113
"21*26041988.5*GnñB23nñ"	0.00915	-0.077307	0.16433685	0.05843
"21*26099542.5*chr21:026099513-026099572"	-0.08251	-0.043907	0.120322488	0.11503
"21*26191716.5*nñ2323"	-0.09151	-0.085907	0.092906171	0.27903
"21*26303058.5*nñ2323"	-0.18951	0.022693	0.194927789	0.00517
"21*26368072.5*nñ2323"	-0.16051	-0.159607	0.208057833	0.20303
"21*26416256.5*nñ2323"	-0.06481	-0.066707	0.049401427	0.16503
"21*26465476.5*BG221702"	-0.08921	-0.122607	0.11300287	0.21903
"21*26547235.5*chr21:026547206-026547265"	0.12349	0.033293	0.254994761	0.31903
"21*26706420.5*nñK125338"	-0.15251	-0.025207	0.090786637	0.03483
"21*26760775.5*zUYYR1"	0.24049	0.019693	0.357056384	0.57403
"21*26831522.5*zUYYR1"	-0.01391	0.044193	0.267468045	0.22303
"21*26902229.5*chr21:026902200-026902259"	-0.19851	-0.196607	0.043199666	-0.03897
"21*27093311.5*chr21:027093282-027093341"	-0.16251	-0.146607	-0.092315565	-0.04197
"21*27134472.5*nñDnñM$zS1"	-0.15751	-0.071507	0.121162976	0.13503
"21*27237677.5*nñDnñM$zS5"	-0.18051	-0.155607	-0.046545682	-0.03517
"21*27301026.5*chr21:027300997-027301056"	-0.15051	-0.155607	0.093986445	0.02363
"21*27354896.5*chr21:027354867-027354926"	-0.09201	-0.055007	0.037343862	0.07593
"21*27443559.5*chr21:027443530-027443589"	-0.14351	-0.033507	0.05400371	0.03123
"21*27514849.5*chr21:027514820-027514879"	-0.11151	-0.025707	0.095748954	0.06093
"21*27632621.5*chr21:027632592-027632651"	-0.20151	-0.118607	0.095209469	-0.00347
"21*27736099.5*BzU043580"	-0.12351	-0.057007	0.146597003	0.05423
"21*27905635.5*nñL832704"	-0.17551	0.009993	0.083768965	0.16603
"21*28007495.5*chr21:028007466-028007525"	0.05489	0.096593	0.330454958	0.44703
"21*28080204.5*chr21:028080175-028080234"	-0.18051	-0.055907	0.255176576	0.11003
"21*28250826.5*nñL109791"	-0.10351	-0.068507	0.159665648	0.18403
"21*28309363.5*zU21orf94"	-0.15451	-0.059807	0.085489231	-0.07737
"21*28368946.5*chr21:028368917-028368976"	0.00243	-0.055907	0.472810068	0.47303
"21*28418280.5*BzU047600"	-0.24851	-0.183607	-0.052140031	-0.17497
"21*28524292.5*chr21:028524263-028524322"	-0.20751	-0.123607	0.046168778	-0.00357
"21*28646827.5*chr21:028646798-028646857"	-0.17551	-0.155607	0.110974367	-0.07307
"21*28724402.5*chr21:028724373-028724432"	-0.10851	-0.145607	0.11501899	0.06473
"21*28802368.5*BU618747"	-0.17251	-0.152607	0.02564973	-0.00707
"21*28834302*zU21orf100"	-0.12551	-0.098807	-0.059187109	0.02833
"21*28889117.5*BU618747"	-0.22251	-0.173607	-0.097907228	-0.10097
"21*28948453.5*BU618747"	-0.12051	-0.153607	0.120693499	0.01833
"21*29016349.5*chr21:029016320-029016379"	-0.19051	-0.159607	0.019368795	-0.05117
"21*29120601.5*chr21:029120572-029120631"	-0.02761	0.090293	0.167332163	0.17003
"21*29178958.5*zU21orf127"	-0.03891	-0.070907	0.030270333	0.04183
"21*29230857.5*ZNF294"	-0.09051	-0.084707	0.166009699	0.22003
"21*29279005.5*ZNF294"	-0.01511	0.008413	0.155180468	0.30303
"21*29302639.5*zU21orf6"	-0.02031	-0.036507	0.011785592	-0.01637
"21*29308037*zU21orf6"	-0.07871	-0.090607	0.10416888	0.16303
"21*29319368.5*US2316"	-0.06281	0.012793	0.197388202	0.15403
"21*29344344.5*US2316"	-0.14751	-0.133607	-0.005300883	-0.10497
"21*29366731.5*zUzU$z8"	-0.04251	0.000763	0.18360646	0.20403
"21*29386530*zU21orf7"	-0.11351	0.030993	0.220814779	0.05973
"21*29452743.5*zU21orf7"	-0.10251	-0.016907	0.09708899	0.03283
"21*29488430.5*zU21orf109"	-0.03051	-0.159607	0.112687643	0.01993
"21*29532094.5*zU21orf109"	-0.22551	-0.200607	-0.143542602	-0.09397
"21*29582121.5*zU21orf109"	-0.05561	-0.124607	0.139936002	0.13703
"21*29620269.5*BnñzUH1"	-0.10151	-0.069107	0.189635011	0.05573
"21*29663297.5*$zHzU2220617"	-0.09071	-0.046307	0.061685135	0.02893
"21*29775123.5*$zHzU2220617"	-0.05571	0.019793	0.069457902	0.06043
"21*29847809.5*GRIK1"	-0.11151	-0.124607	0.110463092	0.04573
"21*29891739.5*GRIK1"	-0.05451	-0.018307	0.078800062	-0.00144
"21*29898452.5*GRIK1"	-0.07251	-0.041607	0.048243215	-0.02257
"21*29988090.5*GRIK1"	-0.08751	-0.089107	0.100611482	0.19703
"21*30096855.5*GRIK1"	-0.12451	-0.060507	0.032182047	0.10713
"21*30136640.5*GRIK1"	0.05639	0.070193	0.165468724	0.13203
"21*30192111.5*GRIK1"	-0.07961	-0.123607	0.144913735	-0.00937
"21*30255293.5*chr21:030255264-030255323"	-0.15351	-0.126607	0.032282862	-0.00517
"21*30384700.5*chr21:030384671-030384730"	-0.16851	-0.188607	-0.117111059	-0.02597
"21*30460159.5*zULDN17"	-0.11751	-0.085407	0.044191633	0.09063
"21*30460355.5*zULDN17"	0.02769	-0.016207	0.013768487	0.04093
"21*30508294.5*zULDN8"	-0.08041	0.030093	0.305388268	0.04263
"21*30554370.5*chr21:030554341-030554400"	-0.18751	-0.202607	-0.002197762	-0.07387
"21*30641823.5*chr21:030641794-030641853"	-0.09451	-0.072207	0.144577898	0.18803
"21*30665895*KR$znñ2313-2"	-0.10151	-0.209607	-0.128061735	0.008784
"21*30690802.5*KR$znñ2313-1"	-0.10251	-0.040007	-0.052376458	0.13303
"21*30724946.5*chr21:030724917-030724976"	-0.13451	-0.136607	0.081930396	0.05893
"21*30734723*KR$znñ2315-1"	-0.01411	0.046993	0.235614173	0.27703
"21*30773988.5*KR$znñ2319-1"	-0.23351	-0.173607	0.047726298	-0.17997
"21*30782636.5*chr21:030782607-030782666"	-0.04661	0.024093	0.042164741	0.01364
"21*30785763.5*KR$znñ2319-3"	-0.20451	-0.103607	0.128482218	0.00939
"21*30791096.5*KR$znñ2319-4"	0.11949	-0.171607	-0.03301489	-0.11897
"21*30835805.5*chr21:030835782-030835829"	-0.17051	-0.129607	0.011861441	-0.06457
"21*30852935.5*chr21:030852906-030852965"	-0.21551	-0.145607	0.142596249	-0.27697
"21*30884381.5*chr21:030884352-030884411"	-0.22151	-0.147607	-0.022768245	-0.13397
"21*30895408.5*KR$znñ2322-1"	-0.03831	-0.037707	0.04843875	0.13403
"21*30910639.5*chr21:030910610-030910669"	-0.21351	-0.113607	0.042287111	-0.02227
"21*30929081.5*chr21:030929052-030929111"	-0.14151	-0.054007	0.049824133	0.06913
"21*31014237.5*chr21:031014208-031014267"	-0.12751	-0.082907	0.043880205	0.11703
"21*31039527.5*chr21:031039498-031039557"	0.01679	-0.236607	-0.015278723	0.12703
"21*31050325.5*chr21:031050296-031050355"	0.01669	-0.089407	0.328805381	0.34903
"21*31107074.5*KR$znñ238-1"	-0.10651	-0.059407	0.127984547	0.10333
"21*31123564*KR$znñ237-1"	-0.21551	-0.155607	-0.02971508	-0.01337
"21*31123592.5*KR$znñ237-1"	-0.12551	-0.118607	-0.047702761	-0.02837
"21*31174846.5*chr21:031174817-031174876"	-0.06451	-0.113607	-0.061085733	0.16003
"21*31175069.5*KR$znñ2311-1"	0.04699	-0.056807	0.130474873	0.13303
"21*31213899.5*chr21:031213870-031213929"	-0.13651	-0.098407	0.04475336	0.01059
"21*31309079.5*chr21:031309050-031309109"	-0.07991	-0.072507	0.134191259	0.08343
"21*31446894.5*$zInñM1"	0.03039	-0.154607	0.163782256	0.06843
"21*31519915.5*$zInñM1"	-0.12751	-0.092107	-0.006612234	0.11903
"21*31633598.5*$zInñM1"	0.09789	-0.011607	0.094875279	0.11803
"21*31841924.5*$zInñM1"	-0.05791	-0.066507	0.077044462	0.05313
"21*31862846.5*chr21:031862817-031862876"	0.14849	-0.063507	0.12147107	0.25603
"21*31912208.5*chr21:031912179-031912238"	-0.04941	-0.082707	0.103333971	0.13903
"21*31955376.5*SOD1"	-0.09171	-0.159607	-0.007865868	0.00502
"21*31963048.5*SOD1"	-0.13751	-0.128607	0.014545162	-0.05637
"21*32022257.5*SFRS15"	-0.14451	-0.147607	0.072891786	-0.05087
"21*32103356.5*chr21:032103327-032103386"	-0.10751	-0.066307	0.045244849	0.08233
"21*32167298*chr21:032167271-032167325"	-0.05681	-0.112607	-0.008348833	-0.02097
"21*32218650.5*HUNK"	0.00989	-0.029707	0.119446314	0.12903
"21*32296179.5*HUNK"	-0.00891	-0.114607	-0.071734685	0.05143
"21*32331173.5*nñL833413"	0.04259	0.058893	0.297954696	0.27803
"21*32379112.5*BG460487"	-0.08061	-0.032207	0.056335426	0.10023
"21*32441093.5*$zHzU2230390"	0.07339	0.042493	0.170275534	0.22903
"21*32492111.5*chr21:032492082-032492141"	-0.04711	-0.102607	0.077800951	0.03083
"21*32543176.5*chr21:032543147-032543206"	0.08579	-0.080207	0.102586289	0.12803
"21*32572565.5*zU21orf45"	-0.01611	-0.063507	0.340399979	0.20403
"21*32595941.5*zU21orf61"	-0.04991	-0.047607	0.060464727	0.04703
"21*32688034.5*zU21orf119"	-0.08011	-0.126607	-0.119829131	-0.10797
"21*32735817.5*zU21orf63"	-0.00521	-0.023007	-0.048557121	0.13003
"21*32791463.5*zU21orf63"	0.03489	0.035593	0.212366421	0.29803
"21*32869030.5*zU21orf77"	-0.04871	-0.013507	0.104517447	0.06763
"21*32876506.5*$zzU2310L"	0.01595	-0.027007	0.033563306	0.16203
"21*32901852.5*zU21orf59"	-0.03951	-0.070207	-0.112444225	-0.07357
"21*32930224.5*SYNJ1"	0.13549	0.143393	0.626300957	0.62603
"21*32994206.5*SYNJ1"	-0.05451	-0.084607	-0.030587072	0.06523
"21*33027112.5*BzU038361"	0.01759	-0.037307	0.407398349	0.30203
"21*33064031.5*zU21orf66"	0.03819	0.066193	0.428923279	0.26803
"21*33088088.5*zU21orf49"	-0.03891	-0.068007	0.099491941	0.03733
"21*33106246.5*zU21orf62"	-0.06561	-0.092207	0.029571573	-0.02567
"21*33195884.5*chr21:033195855-033195914"	-0.02261	-0.033507	0.073381491	0.07433
"21*33246375.5*chr21:033246346-033246405"	-0.09951	-0.156607	0.008937963	-0.08587
"21*33320564.5*OLIG2"	-0.03471	-0.062607	0.021495645	0.03333
"21*33322372*OLIG2"	-0.00631	0.004803	0.08054076	0.15003
"21*33323341.5*OLIG2"	-0.02891	-0.177607	0.200290678	-0.02857
"21*33411349.5*BzU021745"	0.01258	0.006933	0.092714176	-0.03527
"21*33482954.5*chr21:033482925-033482984"	-0.07931	-0.054807	0.111166471	-0.10997
"21*33524741*IFNnñR2"	0.04089	-0.049007	0.015781981	0.20703
"21*33582080.5*IL10RB"	0.08089	0.057293	0.096114518	0.28203
"21*33639443.5*IFNnñR1"	-0.05111	-0.079607	0.046960479	-0.04967
"21*33715620.5*IFNGR2"	0.10309	-0.134607	0.301670493	0.37903
"21*33731392.5*zU21orf4"	-0.05151	-0.098707	0.254783532	0.11103
"21*33749762.5*zU21orf4"	0.06599	-0.034707	0.160404175	0.16603
"21*33781088.5*zU21orf55"	0.03969	-0.038107	0.248594267	0.42703
"21*33785155.5*zU21orf55"	-0.02411	-0.094407	-0.00464778	0.05423
"21*33799832.5*GnñR$z"	-0.07911	-0.045207	0.013975078	0.02133
"21*33853943.5*SON"	-0.10151	-0.125607	-0.007071072	-0.02887
"21*33872135.5*DONSON"	-0.03681	-0.024607	0.043778498	0.11803
"21*33918917.5*zURYZL1"	-0.01511	0.025193	0.525662387	0.35303
"21*33935486.5*zURYZL1"	-0.09351	-0.042207	0.034141279	-0.01867
"21*34012976.5*I$zSN1"	-0.08631	-0.102607	-0.048418208	0.01563
"21*34061982.5*I$zSN1"	0.04109	0.057793	0.306132004	0.26203
"21*34132623.5*I$zSN1"	-0.09171	-0.113607	0.124709312	-0.02597
"21*34200407.5*nñ$z235O"	-0.05401	-0.067807	0.004276153	0.007536
"21*34277809.5*chr21:034277780-034277839"	0.04959	0.012193	0.198367731	0.41703
"21*34332168.5*chr21:034332139-034332198"	-0.09131	-0.060107	0.052756142	0.02653
"21*34391098.5*MR23S6"	-0.04471	-0.043207	0.035201707	0.01135
"21*34437190.5*chr21:034437162-034437219"	0.07659	-0.045307	0.068780339	0.13103
"21*34477324.5*zU21orf82"	-0.06601	-0.060007	0.072221224	-0.00017
"21*34516073.5*$zHzU2140307"	0.02149	-0.009197	0.132892892	0.15903
"21*34625283.5*chr21:034625254-034625313"	0.05989	0.022493	0.128295428	0.09183
"21*34662815*KzUNE2"	-0.04851	-0.064607	-0.003926927	-0.00377
"21*34685095.5*zU21orf51"	-0.01371	-0.009807	0.241298277	0.15903
"21*34747587.5*KzUNE1"	0.07579	0.150393	-0.010692543	0.00084
"21*34810833.5*DSzUR1"	-0.04861	-0.169607	-0.035356953	0.22403
"21*34887942.5*DSzUR1"	0.07489	0.068493	0.183328603	0.51503
"21*34984171.5*zULIzU6"	-0.01681	-0.114607	-0.033339027	0.11203
"21*34991029.5*zULIzU6"	-0.05981	-0.012207	0.020434441	-0.08757
"21*34999724.5*zULIzU6"	0.19449	-0.004737	0.099295769	0.02603
"21*35040052.5*nñK025786"	0.07779	0.127393	0.136791776	0.17803
"21*35084149.5*RUNX1"	-0.01501	-0.053007	0.011131275	-0.03657
"21*35118106.5*RUNX1"	-0.04371	-0.047107	0.103737759	-0.00447
"21*35123462.5*RUNX1"	0.03209	-0.059607	0.047399746	-0.01987
"21*35181688.5*RUNX1"	-0.02681	-0.021107	0.073411567	0.07073
"21*35288289.5*RUNX1"	-0.02421	0.006093	0.072955549	0.11203
"21*35333395.5*RUNX1"	-0.07961	-0.082407	-0.108077433	0.00307
"21*35413630.5*RUNX1"	0.03569	0.002293	0.191771408	0.10903
"21*35486105.5*RUNX1"	0.15749	0.026693	0.238366333	0.32703
"21*35580323.5*RUNX1"	0.01909	-0.037107	0.147018219	0.16203
"21*35696642.5*RUNX1"	0.02739	-0.060607	0.327979511	0.50403
"21*35911402.5*RUNX1"	0.03029	0.131393	0.361263415	0.36703
"21*35984828.5*RUNX1"	0.12349	0.054193	0.272944623	0.39103
"21*36057051.5*RUNX1"	-0.12951	-0.068307	0.161106871	-0.08577
"21*36156856.5*RUNX1"	-0.02081	-0.039207	-0.002797367	0.06203
"21*36229747.5*RUNX1"	0.06689	-0.074507	0.079104989	-0.00227
"21*36330151.5*zU21orf18"	-0.08541	-0.101607	0.041356657	-0.05307
"21*36366171.5*zU21orf18"	-0.01341	-0.054607	0.134178493	0.02413
"21*36440231.5*zUBR3"	0.07409	-0.008477	0.20702186	0.22903
"21*36517437.5*zU21orf5"	-0.02251	-0.029807	0.096396076	0.07373
"21*36587836.5*zU21orf5"	-0.02041	0.055393	0.188458203	0.13603
"21*36643504*ZzUWzUzU3"	0.04409	0.025493	0.240029242	0.11103
"21*36685725*zUHnñF1B"	-0.06061	-0.090307	0.051700172	-0.02337
"21*36718129.5*chr21:036718100-036718159"	-0.000160000000000000	-0.042207	0.072914695	0.31203
"21*36755019*zULDN14"	-0.02191	-0.074707	0.256288757	0.12403
"21*36846651.5*zULDN14"	-0.05131	-0.036107	0.083437201	0.15103
"21*36964469.5*chr21:036964440-036964499"	0.02489	-0.002877	0.124909708	0.18903
"21*36998547.5*SIM2"	0.01174	0.001723	0.051986976	0.19003
"21*37047275.5*HLzUS"	0.04719	-0.161607	-0.069232836	0.11103
"21*37119968.5*HLzUS"	0.08229	0.029293	0.109999258	0.33803
"21*37191197.5*HLzUS"	-0.07831	-0.058307	0.047313733	0.25303
"21*37224538.5*HLzUS"	0.03199	-0.075207	0.0895118	0.27103
