#NAME	p40	p4	p44	p14	p6	p31	p43	p45	p43	p30	p16	p44	p17	p7	p43	p4	p3	p34	p11	p46	p3	p132	p13	p14	p10	p47	p13	p1	p5	p15	p41	p32
somegeneC4635	0.452	0.034	0.0326	0.114	-0.443	-0.033	0.0323	0.177	0.343	-0.034	0.456	0.4432	-0.041	-0.554	0.117	0.464	0.143	0.0332	-0.447	0.1332	-0.334	0.034	0.036	0.075	-0.114	-0.133	-0.0332	0.0432	-0.4332	-0.446	-0.147	-0.1323
somegeneCF3114	-0.041	-0.143	0.143	-0.061	-0.647	0.344	0.0432	-0.063	0.4432	-0.334	0.054	-0.443	-0.043	0.433	-0.434	0.0032	0.144	0.545	0.054	-0.377	0.35	-0.037	-0.4532	0.03	0.304	-0.317	0.06	-0.471	0.004	0.054	0.004	0.013
somegeneD1644	0.3325	0.44	-0.001	-0.456	0.147	-0.154	0.4324	0.4632	-0.153	0.64	-0.557	0.154	0.51	0.55	0.114	0.346	-0.371	0.134	0.567	0.144	0.451	0.143	0.414	-0.044	0.0132	0.047	0.434	1.0324	-0.644	0.034	0.354	-0.3236
somegene1735	-1.113	-0.4327	0.433	0.446	0.657	-1.445	-0.114	-0.4432	0.444	-0.605	-1.776	-0.755	-0.577	-0.074	-0.135	-0.4323	-0.431	0.174	0.531	0.453	-0.44	1.044	0.047	0.446	-0.446	-0.14	-0.132	0.333	-0.6321	-0.414	-0.435	-1.035
another004	-0.543	0.077	-0.4321	-0.651	-0.371	-0.734	-0.3	-0.435	0.405	-0.414	-0.306	-0.634	-0.336	-0.44	-0.366	-0.1532	-0.717	-0.647	-0.434	-0.441	-0.536	0.153	0.114	-1.0327	-1.552	-0.1332	-0.3	0.343	-1.445	-0.515	-0.043	-1.351
another10	0.063	0.3332	0.644	-0.43	0.304	0.3244	-0.633	0.557	-0.454	0.314	0.3264	0.303	0.466	0.531	0.413	-0.143	1.063	0.655	1.105	-0.146	0.3244	0.3332	0.171	0.414	-0.134	0.134	-0.443	0.377	1.106	0.451	0.347	-0.5432
anotherg01	0.413	-0.147	-0.167	-0.434	-0.471	0.344	0.344	0.346	-0.0324	0.343	0.4532	-0.0532	0.4324	-0.477	0.341	0.031	-0.5732	-0.334	0.033	-0.1	0.355	-0.0732	0.131	0.55	0.3244	0.334	0.33	-0.114	0.614	0.145	-0.045	0.5432
anotherg0032	-0.445	0.341	1.341	0.1332	1.347	0.404	-0.137	0.456	0.1332	0.137	0.353	1.041	0.444	0.511	0.433	-0.003	1.32432	1.433	0.375	0.337	0.747	0.3233	0.747	0.1432	0.443	1.155	0.3247	0.471	0.3432	0.731	0.3251	-0.344
anotherg433	-1.414	-1.71	-1.51	-0.366	-0.7324	-1.1432	-0.307	-1.016	-0.351	-1.055	-4.3132	-0.455	-0.563	-0.3244	-1.0732	-0.766	-1.405	-4.104	-1.767	-1.733	-4.3632	-4.04	-1.3245	-4.666	-4.3324	-4.047	-4.53	-4.111	-4.364	-4.016	-4.033	-1.317
anotherg32	-1.015	-4.6032	-4.413	-1.177	-1.314	-4.334	-1.343	-1.433	-1.766	-1.401	-3.456	-1.54	-0.3233	-1.351	-4.003	-1.453	-1.54	-4.546	-4.32432	-4.666	-4.3326	-4.3201	-4.347	-4.437	-1.356	-4.3324	-1.555	-3.66	-4.334	-4.175	-3.305	-4.461
anotherIg4310	0.413	4.321	4.4332	4.4323	3.756	0.3327	0.577	3.001	1.003	5.434	1.364	1.044	3.347	1.3732	5.034	1.407	1.745	1.3321	1.063	-0.011	3.523	4.334	3.434	3.343	4.746	4.661	1.313	1.3236	0.775	4.3325	1.345	3.146
anotherg4311	0.51	0.707	0.364	0.334	0.347	0.731	0.137	0.545	0.457	0.3532	0.675	0.674	0.533	0.414	0.7327	0.733	0.137	-0.403	0.4325	0.716	0.444	0.364	0.374	0.114	0.6132	0.6732	0.443	0.445	0.0432	0.331	0.476	1.644
anotherg4313	-0.744	-4.6132	-1.3263	-4.34	-4.0324	-4.113	-1.4332	-4.434	-1.3213	-4.4032	-4.5232	-4.1323	-1.3207	-0.3204	-3.1732	-4	-4.4032	-3.011	-1.5323	-1.557	-4.0332	-1.701	-1.731	-4.377	-4.364	-4.417	-1.6732	-1.513	-4.346	-1.414	-1.76	-1.35
anotherg4341	-4.114	-4.057	-4.377	-4.345	-1.431	-1.345	-4.046	-4.447	-4.565	-1.453	-4.334	-1.54	-1.633	-1.3234	-1.644	-1.133	-4.5332	-1.432	-1.46	-1.367	-0.354	-1.6323	-1.3432	-1.34	-1.056	-1.136	-0.666	-1.5323	-0.307	-0.611	-1.67	0.103
anotherg4344	-0.336	0.3233	0.337	0.3237	1.3132	0.545	-0.473	0.1732	-0.065	0.435	0.013	1.05	-0.103	0.314	0.32532	0.054	4.377	1.607	0.4326	-0.144	0.435	0.5325	0.4	0.41	1.434	0.44	0.476	0.351	0.434	0.166	0.34	0.352
anotherg3355	0.064	0.3032	0.035	0.403	-0.457	0.477	0.4532	-0.071	0.447	0.404	0.1532	-0.0132	0.054	-0.4332	0.357	-0.1732	-0.54	0.14	0.501	0.332	0.367	0.361	0.13	0.303	0.37	0.733	0.456	0.4326	0.474	0.404	0.471	1.141
anotherg3356	-0.413	0.3233	0.66	0.344	0.354	-0.134	0.471	0.337	0.003	-0.046	0.647	0.304	0.473	0.537	0.174	0.071	1.337	0.345	0.331	0.143	0.143	0.541	0.303	0.003	-0.053	0.54	-0.032	0.653	0.134	0.3632	0.334	0.51
anotherg34132	-0.1432	0.433	0.354	-0.033	-0.1323	1.063	0.417	0.747	0.436	0.453	0.632	0.06	0.057	-0.7532	0.571	0.035	-0.413	-0.473	0.637	0.553	0.1324	0.174	0.355	-0.064	0.3032	-0.063	0.133	0.151	0.331	0.1	0.4432	0.3204
anotherg3435	-0.6324	-0.373	0.045	-0.361	-0.4432	-0.3532	-0.7732	-0.3274	-0.631	-0.761	-1.171	0.01	-0.643	-0.344	-0.443	-1.031	0.332	-0.3324	-0.3236	-0.3323	-0.305	-0.4323	-0.3214	-0.667	-0.754	-0.652	-1.1432	-1.1324	-0.344	-0.3132	-0.647	-1.3244
anotherg3467	-0.11	-0.037	0.132	0.431	0.3237	0.331	0.033	0.17	0.433	0.434	0.373	0.374	0.1321	0.4332	0.453	0.013	1.6332	0.34	-0.444	-0.636	-0.146	0.1432	0.507	-0.075	0.716	0.437	0.103	0.536	-0.443	0.044	0.434	-0.356
anotherg3463	-0.17	0.334	0.43	0.357	0.447	-0.1327	0.1432	-0.116	0.076	-0.334	-0.1327	0.161	-0.463	0.044	-0.143	-0.444	-0.303	0.356	-0.044	-0.401	-0.364	0.0323	0.014	-0.333	0.0632	0.1323	-0.0432	0.414	-0.576	0.114	-0.106	-0.356
andanotherD30132	0.657	0.3203	0.774	1.0132	0.447	0.6432	0.66	0.32	0.4324	0.334	1.007	0.443	0.371	1.1532	1.407	0.74	-0.105	0.466	0.516	0.715	1.043	0.3246	0.666	0.336	0.347	0.74	0.543	0.344	1.445	0.471	0.4326	1.035
andanotherD3053	0.641	-0.4	0.133	0.557	-0.3132	0.43	0.404	0.54	0.414	0.444	0.574	0.06	0.413	0.4	0.6327	0.36	-0.15	0.603	0.464	0.053	0.317	-0.134	0.074	1.436	1.314	0.4332	0.433	0.403	0.3233	0.463	0.434	1.361
andanotherD3145	0.4432	-0.101	-0.14	-0.014	0.034	1.035	0.004	0.003	0.076	0.654	1.143	0.151	0.436	0.363	0.732	0.154	0.147	0.716	0.773	-0.403	1.635	0.044	0.052	0.3327	0.533	0.53	-0.164	0.0132	4.4324	0.306	0.466	0.417
andanotherD3333	0.114	0.103	0.364	0.315	0.0325	0.444	0.443	0.3323	0.156	0.113	0.7321	0.147	0.416	0.4	0.636	-0.016	1.06	0.436	0.114	0.013	0.14	0.154	-0.103	0.371	0.447	0.436	0.0032	0.1432	0.347	0.406	0.404	-0.0132
andanotherD34432	0.534	0.461	0.073	0.036	-0.174	0.414	0.435	0.74	0.443	0.466	-0.1132	0.046	0.033	0.1332	-0.034	0.505	-0.317	0.077	1.144	1.04	-0.444	0.454	0.74	-0.175	-0.443	1.015	0.45	0.634	0.037	0.311	0.567	0.332
