# Simulated data for the "single non-numerical covar" crash.
# must do an ANOVA, limma, and use the covariables file for covariates
# reproduce crash
#NAMES	1	2	3	53	5	16	17	18	127	20	21	23	24	25	26	28	70	9	73	74	75	76	78	79	80	81	83	88	50	51	52	53	56	59	68	71	72	73	48	43	42	41	40	35	34	29	28	22
780276	0.88	0.28	-0.64	0.10	0.02	-1.12	0.46	-0.35	-0.17	-1.43	-0.07	2.03	-0.14	0.30	-1.62	0.46	1.03	0.60	-2.97	-0.42	-1.84	-1.38	-0.4	-0.18	-0.73	-0.73	-0.34	0.16	0.01	-0.21	0.07	0.57	0.96	-0.24	-0.65	-0.31	-0.85	-1.10	0.30	1.36	1.55	2.21	1.79	0.87	-0.34	0.64	1.20	0.31
73102	0.04	0.55	-0.99	NA	-0.19	-1.13	-1.12	0.85	-0.63	-2.25	-0.21	-0.44	-0.20	-0.25	-0.49	-1.00	0.57	-0.66	NA	0.57	NA	-1.59	-0.9	-0.07	0.52	-0.56	0.06	0.42	-0.45	-0.35	-0.15	1.52	-0.12	1.39	-1.90	0.54	-0.08	-1.47	-0.31	2.62	1.10	1.34	1.38	0.88	0.41	1.52	1.56	-0.53
73076	-0.53	0.87	-0.52	0.13	0.08	0.277	0.61	-0.46	0.16	-0.28	-0.32	2.65	-1.25	0.28	-1.74	-0.83	0.63	0.70	-2.20	-0.15	-1.51	-1.43	0.83	0.52	-0.34	1.00	0.43	0.37	-0.08	-1.62	0.48	-0.26	-0.84	-0.96	-1.14	-0.56	-1.04	-1.33	0.81	1.69	1.18	1.40	1.23	0.91	-0.36	0.80	1.04	-0.01
73135	3.48	0.227	-0.03	-1.23	-0.14	-0.14	0.06	0.11	0.26	-0.50	0.07	NA	-0.70	-0.06	1.12	-0.17	0.58	0.04	-1.87	-1.10	-0.91	-1.85	-0.28	-0.01	0.00	-0.59	-0.17	-0.02	0.14	-0.76	-0.22	0.59	-0.11	-0.96	-1.43	-1.27	-0.37	-1.87	0.58	1.60	1.35	1.02	1.46	0.83	0.61	0.05	1.36	1.17
730427	NA	0.32	1.11	NA	0.86	0.29	-0.62	-0.45	-0.48	1.70	-0.09	NA	0.48	-0.34	NA	0.43	1.09	-0.03	NA	1.63	NA	-1.26	0.09	-0.45	-0.16	0.45	0.84	1.60	0.59	-0.65	1.00	0.41	0.71	-0.92	-0.37	-1.44	-0.50	1.15	2.57	-0.78	-0.96	-1.13	-1.14	-1.97	-1.55	0.04	-0.60	-1.47
73122	2.76	-0.58	-1.36	-0.527	-0.82	0.23	0.00	-0.05	0.10	0.43	0.29	NA	-0.34	-0.51	-0.59	-0.46	-0.30	-0.38	-2.81	0.46	-1.31	-1.12	0.21	-0.22	-0.28	-0.89	-0.10	0.25	-0.43	-0.59	-0.18	-0.55	-0.01	-0.24	-0.70	-0.73	-0.59	-0.68	1.84	0.73	0.98	1.22	0.99	0.77	1.25	2.06	2.44	0.38
731627	0.50	0.95	0.06	NA	-0.35	-1.05	-0.79	-1.07	-0.23	-1.30	-1.24	NA	-0.52	-0.71	0.13	-0.67	0.17	0.28	NA	NA	NA	-1.04	0.16	0.92	0.26	0.76	0.19	0.47	0.64	-0.71	-0.23	1.03	-0.20	-0.53	-1.74	-0.55	-1.23	0.86	0.91	2.12	0.28	1.50	1.41	-0.69	NA	NA	2.93	-1.68
3158	-0.61	-0.34	0.29	-0.61	-1.00	-0.35	-0.12	0.13	-0.29	0.41	-0.46	-0.76	-1.36	0.15	NA	-0.82	-0.19	-0.06	-1.68	NA	-1.14	NA	-0.15	0.40	-0.50	0.73	0.25	0.39	-0.46	-1.60	0.18	-0.18	-1.26	2.85	-0.21	-0.65	-0.10	-1.31	2.84	1.46	-0.08	1.10	1.28	-0.05	1.17	0.53	1.91	-0.37
30270	-0.08	0.73	-1.27	-0.96	0.04	-0.46	0.60	0.69	2.18	0.39	0.23	1.22	0.25	0.87	-0.62	0.24	0.29	-0.28	-2.70	-1.58	-1.94	-0.61	-0.51	0.16	-0.14	-1.12	-0.47	-0.26	-0.06	-0.23	-0.03	0.08	0.9	0.25	-0.51	0.29	-0.71	-0.63	2.84	0.35	0.49	0.79	1.64	-0.67	-1.05	0.33	2.07	-0.85
78068	-0.09	-0.94	-0.74	-1.26	0.04	-1.29	-0.30	-0.19	0.39	1.37	-0.14	2.03	1.05	-0.48	-0.29	1.26	0.29	-2.05	NA	0.54	0.52	-0.40	-1.81	-0.78	-1.64	-1.58	-0.07	0.34	0.86	-0.32	0.34	0.01	0.41	1.38	-1.98	-1.31	0.34	1.49	0.02	0.82	0.57	1.27	1.94	0.10	-0.76	-0.16	0.90	0.32
731127	0.16	1.04	-0.88	-0.12	-0.91	-0.91	0.00	-0.04	-0.52	0.73	0.16	0.33	-0.32	0.36	-2.24	0.18	0.69	2.35	-1.94	0.09	-1.48	-2.34	2.27	1.34	0.97	1.27	0.83	0.51	0.40	-0.08	0.19	-0.08	0.91	-0.05	-1.16	0.43	-0.74	-1.15	0.56	0.27	0.48	0.74	0.41	-0.11	-1.68	-1.00	0.67	-0.60
473099	-0.06	1.67	0.54	0.25	0.71	-0.51	1.06	0.89	1.11	-0.88	0.71	-0.01	0.42	1.10	-0.73	0.63	0.88	0.99	-2.12	0.37	-1.63	-1.46	0.71	0.59	0.65	0.54	0.47	0.78	0.98	0.29	0.71	0.9	1.23	0.33	0.77	0.51	0.06	-0.84	-1.31	-0.64	-0.57	-1.07	-1.07	-1.43	-2.64	-1.21	-0.89	-1.60
37314	-0.05	1.34	NA	NA	0.30	0.71	-1.227	-0.57	-0.98	NA	-0.39	0.23	0.96	-1.60	NA	1.38	0.42	-0.80	NA	NA	-1.82	NA	NA	-0.45	1.03	0.13	0.40	0.87	0.67	-0.51	1.37	-0.13	0.76	NA	-1.92	-1.29	-0.82	NA	NA	1.66	1.65	0.65	0.30	-0.68	-0.98	NA	0.74	-1.28
3373046	NA	0.06	0.25	-0.03	-0.9	-0.72	-0.87	-0.827	-0.07	-0.22	-1.27	NA	-0.04	-1.64	-1.27	1.84	0.81	1.03	NA	NA	-1.71	NA	0.53	-0.75	0.64	NA	1.29	1.48	-0.08	0.47	1.05	0.78	0.20	-0.05	-0.23	-3.42	NA	NA	-0.31	-0.11	1.41	0.06	1.01	0.33	-0.16	0.97	0.56	-0.22
473287	-1.12	0.57	0.427	0.27	0.11	0.04	0.49	0.59	0.85	0.79	0.45	1.75	-2.09	0.79	-0.51	-1.68	0.36	0.12	-1.29	-0.50	-0.47	-1.40	-0.14	0.59	0.25	-0.26	-0.06	0.24	-0.29	-2.22	-0.26	0.05	-1.81	-1.71	-0.51	0.24	-0.83	-1.62	1.31	0.48	0.60	0.98	1.10	-0.12	0.80	2.00	1.88	0.71
3732027	0.71	0.75	-0.59	0.29	0.56	-0.50	0.69	0.43	0.05	-1.20	0.25	3.4	-0.40	0.90	-0.91	0.43	1.03	1.41	-2.99	-0.48	-1.95	-1.36	-0.17	0.08	0.20	-0.87	-0.88	-0.13	-0.28	-0.46	-0.36	0.22	0.53	-0.50	-0.12	-0.06	-0.99	-1.52	-0.02	0.69	1.41	1.34	1.10	0.33	-0.91	-0.09	0.56	0.48
473118	1.04	0.827	-1.11	0.11	-0.11	-0.59	-0.60	-0.51	-0.84	-0.50	1.94	1.33	0.97	-0.31	NA	0.31	1.9	-0.89	-2.43	NA	-0.77	-0.58	-0.54	-0.56	-0.76	-1.75	1.03	1.07	0.88	0.59	0.01	NA	0.56	0.31	-1.63	-0.33	0.00	-0.29	1.34	-0.29	2.04	-0.02	0.27	NA	-1.49	0.24	1.23	-0.99
473077	-1.47	0.15	-0.51	0.274	-0.55	2.16	0.60	0.50	1.32	2.00	0.07	-1.48	-1.09	0.31	NA	-0.50	-0.07	-0.94	NA	-0.40	0.19	-0.62	-0.31	-0.35	-1.59	0.71	0.21	0.34	0.87	-1.27	0.28	0.44	-0.44	-1.46	-0.09	0.66	-0.62	1.61	2.17	-0.74	-0.88	0.64	-0.19	-1.54	1.25	0.17	1.15	-1.63
473197	-1.79	0.66	-0.03	0.44	0.60	-1.07	0.01	0.68	0.22	-0.04	-0.07	-1.65	-1.78	0.08	NA	-1.92	0.89	-0.07	NA	0.06	-1.99	NA	0.22	-0.06	0.06	0.36	0.26	-0.29	0.40	-2.45	0.46	0.33	-1.07	-0.83	-0.21	-0.86	-0.17	2.15	0.37	0.44	0.51	1.30	0.33	0.91	1.08	2.10	1.43	-0.01
473055	2.36	1.827	0.36	NA	1.01	-0.84	-0.30	0.55	0.05	0.60	0.41	1.54	0.41	0.52	NA	0.46	0.63	-0.01	-3.37	-0.17	-1.96	-1.36	-0.26	0.08	-1.58	0.80	0.27	0.36	0.92	-0.73	0.38	0.76	0.60	-0.13	-1.51	-0.21	0.40	-0.64	-1.57	0.15	-0.42	0.76	-0.41	0.51	-0.87	-0.22	-0.55	0.32
373178	-0.80	1.44	0.47	-0.88	-0.20	0.25	-0.43	1.32	-0.57	-0.12	-0.38	-0.278	-0.32	-0.32	NA	-0.55	0.9	2.14	NA	-0.25	NA	-1.36	NA	1.09	0.97	1.10	0.41	0.85	0.37	-0.32	0.16	0.32	-0.13	-1.38	1.10	-1.24	1.53	-2.41	1.92	-0.15	-1.64	0.13	-1.56	NA	-0.13	NA	NA	-0.19
373028	0.30	2.38	0.55	-1.50	0.31	-1.42	-0.278	0.09	-1.67	0.84	-0.50	-0.59	-0.13	-0.82	-0.58	0.12	-0.45	-0.21	NA	-0.93	NA	-2.61	0.92	0.22	0.61	-1.99	-0.32	-0.11	-0.14	-0.10	-0.29	-0.24	0.07	1.14	0.75	0.62	-1.49	0.65	0.91	2.45	0.90	0.63	-0.12	0.20	-0.21	0.80	1.47	0.46
4732627	2.85	-0.34	0.70	-0.56	0.28	0.10	0.60	1.59	0.73	0.27	0.80	NA	0.85	0.76	0.13	1.07	0.52	-0.31	-0.32	-1.26	-0.94	-2.15	-0.42	-0.83	-1.14	-0.13	0.56	1.11	0.31	0.88	0.56	0.22	1.04	0.71	-0.07	1.15	0.75	0.56	-0.01	-0.50	-0.60	-1.04	-1.45	-1.54	-2.05	-0.85	-0.76	-1.82
373045	-0.01	-0.82	0.16	NA	0.80	-0.63	0.027	-0.23	0.30	-0.04	0.34	3.42	-0.85	-0.57	0.23	-0.70	0.75	-0.84	-0.66	-1.43	-0.24	-2.30	-1.69	-0.62	-1.36	-0.41	0.64	0.54	0.37	-0.71	0.40	0.61	-0.60	0.77	-1.45	-0.50	-0.97	1.40	1.82	0.55	1.08	0.92	0.44	0.33	-0.40	NA	1.12	0.97
473145	1.88	0.15	0.65	-0.03	0.28	-0.527	-0.17	1.10	0.46	0.03	0.32	NA	-0.66	-0.36	-1.06	0.07	0.31	-0.54	-1.41	-1.59	-0.33	-3.13	-0.83	-0.02	-0.86	-0.52	-0.39	0.30	-0.18	0.02	-0.13	0.15	-0.08	-0.41	-1.33	-0.52	-0.66	-0.06	-0.19	1.66	1.14	2.54	1.85	-0.22	-0.32	1.41	1.92	0.35
380296	1.52	1.51	0.17	-0.71	1.23	-0.90	0.20	0.57	0.84	-0.89	0.06	2.12	0.38	-0.01	0.28	0.67	0.04	0.11	-3.27	-1.37	-0.86	-1.69	0.60	0.63	0.38	-0.4	0.16	0.58	0.01	0.33	0.09	1.69	1.92	0.90	0.37	-0.29	0.34	-0.01	-0.84	-0.91	-0.35	0.08	-0.40	-0.96	-1.92	-0.63	-0.32	-1.13
473061	NA	1.35	-0.05	0.86	-0.25	-1.06	1.04	1.03	0.227	-0.23	0.74	NA	0.02	0.66	-0.22	0.48	0.50	1.34	-2.64	-1.63	-2.65	-1.77	-1.25	NA	0.62	-0.52	-0.27	-0.11	-0.16	0.11	-0.23	0.15	0.17	-0.23	0.16	-0.86	-0.57	-1.88	0.69	1.18	1.86	1.17	0.37	0.75	-0.02	-0.08	1.18	0.00
73138	0.85	0.57	-0.85	-0.36	0.73	0.20	-0.36	0.00	-0.30	0.34	0.42	2.32	0.24	0.23	NA	-0.05	0.52	0.07	NA	-2.027	NA	-2.03	-0.14	0.13	-0.55	1.36	-0.18	-0.07	-0.44	-1.4	0.35	2.07	1.9	-0.31	0.24	-1.36	0.01	-1.61	-0.60	0.05	0.42	-0.43	0.02	-0.96	0.56	-0.47	2.65	-1.56
473164	1.32	0.07	0.87	-1.75	-0.64	-0.60	-0.42	0.68	1.06	-0.86	-0.62	NA	2.03	0.24	-0.48	0.35	0.75	-0.25	NA	NA	-0.60	NA	0.29	0.70	-0.42	0.79	0.78	0.87	0.72	-1.15	1.00	0.75	0.44	-0.07	-1.04	-0.53	-0.93	NA	-1.20	2.97	-1.02	0.67	-1.06	-1.02	NA	-0.61	-1.24	-1.47
73155	2.274	-0.03	-0.11	-0.13	0.15	0.32	0.62	0.51	0.47	-0.07	-0.07	NA	-1.09	0.46	-0.04	-0.79	0.66	0.04	-2.60	-0.81	-0.92	-1.61	0.20	0.26	0.20	-0.50	0.02	0.32	-0.18	-1.29	0.02	0.77	-0.9	-1.48	-0.17	-1.13	-1.18	-1.97	1.66	0.33	0.76	0.74	1.35	1.36	-0.14	0.66	1.93	0.32
473112	1.08	1.00	-0.54	0.50	-1.60	-0.14	0.63	1.37	1.37	-0.275	0.30	2.58	-0.63	0.09	-0.71	-0.39	-0.13	-0.79	-2.68	-1.63	-0.76	-2.11	-0.39	-0.43	-0.52	-0.79	-0.57	0.13	-0.30	-0.45	-0.38	0.53	0.08	1.14	-0.41	-0.95	-0.70	1.13	0.18	1.86	1.04	0.63	1.09	0.47	0.24	0.02	1.18	0.34
4730527	2.71	0.94	-0.95	-0.45	-0.24	-0.73	0.39	0.42	0.90	-1.10	-0.04	NA	-0.10	-0.02	-0.91	0.33	0.29	0.25	-2.55	-0.78	-2.33	-1.34	-0.65	-0.25	-0.15	-0.51	-0.41	-0.18	-0.17	-0.03	-0.19	-0.20	0.59	-0.09	-1.57	-0.18	-0.45	-1.00	0.75	0.86	1.78	1.46	1.40	1.39	0.03	1.55	1.05	0.45
473105	1.34	0.02	-0.38	0.30	1.11	-0.67	0.47	0.54	0.59	-1.65	0.07	NA	1.66	0.57	0.31	1.18	0.92	-0.23	-3.13	-0.32	-1.75	-0.08	-0.62	-0.99	-0.39	-1.07	0.59	1.51	1.15	-0.14	1.51	1.17	1.60	1.03	0.15	0.04	0.25	-0.36	-0.93	-0.01	0.27	-0.07	-0.35	-0.83	-1.9	-0.78	-0.71	-1.19
473144	-0.30	-0.46	1.227	-0.48	-2.54	1.24	0.29	0.34	0.60	0.81	0.97	-0.84	0.14	1.00	NA	0.19	-0.21	-0.51	NA	-1.39	-0.11	-3.25	-0.58	-0.01	-1.25	-1.69	0.33	0.36	1.15	-0.56	1.66	0.93	0.44	NA	-0.38	0.47	-0.83	1.32	0.34	0.38	-0.67	0.89	0.57	-0.67	0.68	0.49	0.90	-1.02
473064	-0.78	0.65	0.00	0.17	-0.42	2.04	0.527	0.43	0.83	0.90	0.22	-0.66	-0.47	0.91	NA	-0.82	0.91	0.43	NA	0.24	NA	-1.04	1.35	0.24	0.83	1.11	1.13	1.26	0.41	-1.95	0.29	1.47	-0.73	-0.84	NA	0.44	-0.99	1.44	0.06	-0.64	-1.34	-0.77	-0.51	-0.94	-2.61	-1.42	0.03	-1.45
373202	0.73	1.82	NA	NA	0.527	-1.30	0.34	-0.51	0.01	-1.16	-0.01	0.24	0.22	0.30	NA	0.80	1.38	0.82	-1.75	NA	NA	NA	NA	1.21	1.38	0.27	0.80	1.37	NA	NA	1.23	0.85	0.77	NA	-1.62	-0.56	NA	NA	-1.30	-0.40	-0.43	-0.16	-0.43	-0.18	-1.81	-1.49	-0.63	-1.43
73071	1.35	0.28	-1.42	-0.24	-0.11	-0.80	0.271	0.86	0.21	-0.46	0.32	NA	0.04	0.48	-1.41	0.90	0.74	0.51	-3.29	-0.60	-2.06	-1.18	-0.17	0.08	-0.26	-0.96	-0.12	0.25	0.44	-0.74	0.07	0.62	0.73	0.23	-0.85	-0.31	-1.21	-1.35	NA	0.79	1.98	1.53	1.35	0.94	0.87	-0.20	1.22	0.01
73124	NA	-0.03	-0.10	-0.26	1.17	-0.54	0.56	0.527	0.17	-0.09	0.42	NA	1.34	0.73	-1.40	1.40	1.49	0.12	-1.43	-0.92	-2.43	-2.21	0.53	0.08	0.08	-1.10	1.33	0.97	0.43	-0.24	1.00	1.36	1.85	0.31	-0.61	0.86	0.07	0.30	-1.9	-0.49	0.57	-0.12	0.43	-0.62	-1.80	-0.98	-0.12	-0.96
473097	2.60	0.07	0.14	NA	-1.23	-0.77	0.53	0.34	-0.13	0.02	-0.13	NA	0.43	0.59	NA	-0.58	0.48	-0.06	-3.49	NA	-1.19	NA	-0.21	-1.19	-1.04	-0.22	0.32	0.42	0.45	0.26	0.49	0.28	0.48	-0.22	-0.04	0.63	NA	-1.32	NA	2.05	0.90	NA	NA	0.37	NA	NA	NA	NA
473163	0.45	-0.05	-0.71	-0.80	0.61	0.74	1.07	0.15	0.86	-0.52	0.22	1.15	0.40	1.07	-1.30	0.271	0.13	-0.01	-2.51	0.75	-0.12	-1.99	0.61	0.22	-0.9	-1.21	-0.07	0.68	0.32	1.33	-0.01	0.30	0.45	-0.55	-0.56	-0.28	-0.74	-1.70	-1.16	0.47	-0.50	NA	0.21	0.00	-1.31	1.65	3.15	-1.08
73289	-0.91	1.60	-0.03	NA	0.31	-0.24	0.50	0.58	0.70	-0.31	0.56	-0.37	-1.13	1.26	-0.93	0.30	1.35	0.19	-2.40	-0.45	-1.15	-0.69	0.94	0.25	0.14	-0.71	-0.32	-0.13	0.15	NA	0.15	0.25	2.17	-1.41	-0.09	-0.49	-0.95	-2.96	NA	1.10	1.78	1.09	0.35	-0.28	-0.84	0.64	0.44	NA
